id,priority,scene_group,scene_name,deliverable,reference_mode,prompt_pattern,why_it_works,source_hint,source_url,date_observed
S01,high,information_dense,中文濒危动物信息图,长图/海报,text_or_web_research,"先研究对象,再分成 habitat/diet/traits/protection 结构化分区,用中文注释和 callout","适合验证世界知识、版式和中文文字控制","X 对比案例","https://x.com/i/web/status/2047153211560399009","2026-04-23"
S02,high,narrative,中文现代漫画故事,漫画多页,text_or_reference,"明确页数、每页 panel 数、人物设定和中文对白密度","适合把文章、人物故事或行业案例包装成更易传播的形式","X 漫画案例","https://x.com/i/web/status/2047065819796930579","2026-04-22"
S03,high,narrative,科学家人物漫画,漫画单页或多页,reference_plus_prompt,"给人物参考图,指定全彩中文漫画、角色一致性和故事主线","适合把真实人物、品牌人物或专家观点做成传播内容","X 漫画案例","https://x.com/i/web/status/2046778077905056068","2026-04-22"
S04,high,commercial,3D Q版品牌概念店,品牌提案图,text,"品牌名 + 标志性产品外观 + 3D chibi miniature concept store","天然适合品牌提案、招商、PPT 首图和社媒传播","X 概念店案例","https://x.com/i/web/status/2046713824426762304","2026-04-21"
S05,high,presentation,PPT 封面主视觉,PPT 封面,text_or_reference,"主题隐喻 + 大面积留白 + 与标题区兼容的构图","最容易直接落地到汇报、方案、提案","社区图库常见高频场景","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-23"
S06,high,presentation,PPT 分节页背景,PPT 分节图,text,"单一视觉焦点 + 统一品牌色 + 左右留白","能快速拉高整套 deck 的完成度","社区图库常见高频场景","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-23"
S07,high,commercial,电商白底商品图,商品主图,reference_plus_prompt,"保留产品几何形态,替换为干净白底并增强质感","直接转化为运营可用资产","本地 API 编辑场景 + 社区经验","https://github.com/Anil-matcha/Awesome-GPT-Image-2-API-Prompts","2026-04-23"
S08,high,commercial,产品海报/广告 KV,海报,text_or_reference,"先写产品材质和机位,再补情绪、灯光和文案留白","输出可直接进提案或投放草图","社区图库高频场景","https://github.com/EvoLinkAI/awesome-gpt-image-2-prompts","2026-04-23"
S09,high,design_mockup,App/Web UI Mockup,UI 展示图,text,"指定平台、信息架构、卡片层级和真实排版感","gpt-image-2 在 UI 感和文字渲染上被大量讨论","GitHub prompt 库","https://github.com/Anil-matcha/Awesome-GPT-Image-2-API-Prompts","2026-04-23"
S10,high,information_dense,教育/知识图解,信息图,text_or_web_research,"用 4-6 个主题区块 + 图示 + 少量短句","适合公众号配图、长图、课堂材料","社区图库分类","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-23"
S11,medium,narrative,文章配图组图,封面+内插图,text_or_web_research,"1 张主视觉 + 3 张分论点插图,统一视觉语言","适合内容生产和专题文章","编辑插图场景","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-23"
S12,medium,narrative,跨时代分屏叙事图,海报/社媒图,text,"horizontal split-screen + 两个时代 + 同一主体/场景呼应","视觉冲击强,适合历史/品牌/城市叙事","X 案例","https://x.com/i/web/status/2047067494309847098","2026-04-22"
S13,medium,immersive,360 全景环绕图,全景图,text,"360 equirectangular image of [place]","可衍生 VR 空间、虚拟展厅和视频背景","GitHub 案例","https://github.com/ZeroLu/awesome-gpt-image","2026-04-23"
S14,medium,immersive,等距虚拟空间/房间,概念图,text,"isometric room / environment with functional zones","适合虚拟空间、游戏概念和产品场景说明","社区图库分类","https://github.com/YouMind-OpenLab/awesome-gpt-image-2","2026-04-23"
